iterations,test-F1-mean,test-F1-std,train-F1-mean,train-F1-std,test-Logloss-mean,test-Logloss-std,train-Logloss-mean,train-Logloss-std
0,0.4566265455674257,0.00988145185067532,0.4649954300508868,0.011791775293870694,0.47938372078908786,0.0012115340383013207,0.47892477283443363,0.000948812631943029
1,0.4655347355935081,0.013479737387056304,0.47070884361325654,0.01238871921811773,0.37048089971376463,0.003244420354878217,0.3695461671808788,0.0015928405896234602
2,0.46962749437899526,0.010215950700655422,0.4813058337907442,0.014552499027400068,0.3088518147735225,0.0021255940273007296,0.3073913030638665,0.0006832703553827931
3,0.46863178109030346,0.008464806980302943,0.4779949111960867,0.014020993722522654,0.2711448126651573,0.004668597466274653,0.2697625132094744,0.0027917309079565
4,0.4730052318502098,0.012120524132894269,0.48252219790630946,0.014891049118132096,0.2521008079700057,0.0020660320075897133,0.2502858703662153,0.0027335787776094946
5,0.47570841332664726,0.008522525188733166,0.4883074676565949,0.008879191832135544,0.24056188756226207,0.002525198087346253,0.23834308137881272,0.0022490374729301093
6,0.47955387847224795,0.01264595434046855,0.4921103035187853,0.004103199149403601,0.23088110821835875,0.002777019944308327,0.2284086354154115,0.0006817134784055289
7,0.4828884730480416,0.01158361236819046,0.4997090429105501,0.008075087649108106,0.22483918856258728,0.002875236803438361,0.22185720422739572,0.0018639709995670977
8,0.4826628666277316,0.008644358978838742,0.5029908530015799,0.006584146034729679,0.2198963544548488,0.0025635520025805926,0.21639642228598593,0.0021622103225225828
9,0.49227954547375513,0.0111697660349861,0.5122139426357105,0.009633859820794594,0.2163617889795872,0.002203748093368475,0.2123150928662428,0.0019382076279640973
10,0.49647699358823916,0.009436171648741838,0.5162675752802883,0.009611049343021857,0.2135208353529427,0.00323262258334932,0.2090464369222985,0.0016806863771354724
11,0.5010385411391565,0.01198281858595672,0.5251331227266617,0.00826628946039054,0.21137860796864416,0.0029149245655209965,0.20630895227258333,0.001084136185609548
12,0.5072912779142985,0.013166710549982143,0.5323431026924184,0.005475236255566219,0.20926725094680712,0.0032092830399434247,0.2037712340614585,0.0009144787106205378
13,0.5144987921732429,0.012708698088833209,0.5392571106520484,0.008118778316002563,0.20770359046495077,0.003742296016943319,0.20189553945551525,0.0011274076022924483
14,0.5183561116657921,0.014771536627730711,0.5475249801356606,0.008002776428516106,0.2064665080633341,0.0036345237628823807,0.2000566000670053,0.0008996643458756608
15,0.523714969132058,0.015257069897579245,0.5519400718358012,0.007067155023989858,0.20552296048977398,0.004076466733149382,0.19859002241606333,0.001209983740527745
16,0.5251639178943256,0.01668209395194652,0.5585403033718054,0.005545111949155296,0.20514454379647148,0.004066382177320974,0.1975558704995011,0.001315764320924972
17,0.529668577648289,0.016951121853822165,0.56286732377727,0.005004973762908198,0.20419864546570415,0.004042800460698111,0.19624912129182376,0.0011955310116446203
18,0.5338440216571303,0.02019741346507979,0.5675252679656612,0.0061546341500367495,0.20323999788055863,0.004179291383838275,0.19490280165673043,0.0010615796848615331
19,0.5350589863782667,0.020931318872600878,0.5701169586980281,0.005878219452704089,0.20263909367882885,0.004276630008963502,0.19385743493575072,0.0010878131633572253
20,0.5351576150415878,0.01984653379917205,0.5728814255885147,0.005880478082044677,0.20234936634588174,0.004451086732073586,0.19311371438181132,0.0013911737946050605
21,0.5359379420520515,0.01877662525485754,0.5770464783780731,0.006339588479269592,0.2015308885108153,0.004473777239368526,0.191856708833402,0.0012306074261070788
22,0.5373963680111786,0.018578406033031427,0.5806045264351393,0.006807388652475823,0.20091220877756522,0.004391608321073941,0.19089104999035253,0.0012044314893489302
23,0.537472954132425,0.01815610171525421,0.5836010520345704,0.00538714374255261,0.20048041006499964,0.004411882719403908,0.1900565930257374,0.001192250983817902
24,0.537912407867989,0.01717756428997771,0.5857330537602812,0.006433873521099123,0.200182305966363,0.004533480419275745,0.1893845303347937,0.001429863409555208
25,0.538339077932229,0.017871982986141847,0.5864592373426281,0.007011336828694004,0.20006498085151686,0.004644716077148943,0.18910919271590143,0.0016570242939139303
26,0.5408304342281147,0.014002548891156643,0.5891260730630303,0.0047287004331611855,0.19959672912827603,0.0041361140783772446,0.18837187935257776,0.0011407673876082248
27,0.5412456005331403,0.013083023350853965,0.5899894455259181,0.005123454552033346,0.1994443942756218,0.003963143337375753,0.18801531306635996,0.0009864294456380187
28,0.5418466503487507,0.013862153293601659,0.5915666926038727,0.005478451230869188,0.19933238992602348,0.003822363724253924,0.1875229131648941,0.0008938016582241933
29,0.5417511796613443,0.015264198654950113,0.5930434262963242,0.0057924433269977435,0.19922004945478772,0.003855278892042641,0.1871041536711874,0.0010295555287095062
30,0.5437668392022215,0.014524346078828944,0.5945204625925767,0.0051796022365318845,0.19906100407216515,0.0037453868021684916,0.1866497100959148,0.0008314079546448524
31,0.5438324987686249,0.014277685093662987,0.5951408276148589,0.005280848832495323,0.19879352592525762,0.003738149146974963,0.18618813088968245,0.0007860950632158749
32,0.5459777007356909,0.0128473108047362,0.5976916471233565,0.004158374516034187,0.1986582726712209,0.003630034470320846,0.18568477251675009,0.0010290627223647128
33,0.545465074810262,0.013716994239340929,0.5984999902737442,0.004020165932905543,0.19851983653429758,0.0037399511582847248,0.18540083895672643,0.0011546121583056502
34,0.546049847263364,0.014632418129715047,0.6008493843512358,0.005224572722857268,0.1984099360736284,0.0038008263412624426,0.18486451633520978,0.0012972871873403477
35,0.5478408165950921,0.014248552736021287,0.6016947200901257,0.005567249306211628,0.19840843596816404,0.0037880936114747985,0.1845639975560131,0.001391771433865812
36,0.5487076941851896,0.013286604996593935,0.6039456196487685,0.005961014619278538,0.1982505136695729,0.0037913032985396615,0.18406881131451133,0.0015648684573668736
37,0.5502546812888385,0.014038585068124483,0.6060688569735552,0.005983536418757611,0.1981922135161619,0.0038135226477713927,0.18372353109222636,0.0017131417495222468
38,0.5509765836077064,0.01495244201886169,0.6065358429204226,0.006345037876613675,0.19799687778214323,0.0038927148120988463,0.183341239830839,0.0017099485959052722
39,0.5514604277911155,0.015761481353441197,0.6076308582261497,0.00640142710734612,0.1979373168744985,0.003864842355344667,0.1829720407325249,0.0018639931158530823
40,0.551877075309664,0.01601878813663069,0.60797276689305,0.006492172883443961,0.19789977640272466,0.003926310718821201,0.18283291548939545,0.0019346147126384527
41,0.5517622276373106,0.016975686648690595,0.6091393183273188,0.007039374140562256,0.19782231547123255,0.0038895801156800594,0.18259018873003505,0.0021205712326283024
42,0.5516154577467678,0.016536521970146153,0.609912727194786,0.006429528937924896,0.19770923201753968,0.003927075228030695,0.18227866865559972,0.0019512462308805235
43,0.5529761052513658,0.01708274919297831,0.6107489439778714,0.005944633237693606,0.19763501739737355,0.00392203187653376,0.18209434221845092,0.0019254940420096146
44,0.5520374416456295,0.018709815972889482,0.6118539261989218,0.005988579389966692,0.19755243513351842,0.003937129623884072,0.1818782381848815,0.001955398020073212
45,0.5518481840400759,0.015990334498323752,0.6132106321423693,0.005443878085207034,0.1975082668143958,0.003876493682355851,0.1816559159208937,0.0019814857794851807
46,0.5527894193225705,0.016217599649011056,0.613987841147847,0.00586690104076256,0.1972602229592951,0.003926871338335157,0.1812038429110597,0.001591609061419113
47,0.552186399394589,0.01677207726780863,0.615339012818487,0.005261588406917839,0.19715091206476235,0.003803727670093651,0.1807716305956515,0.0013149740585184143
48,0.553094810079627,0.01754342192877628,0.6162788151072183,0.004235682960778151,0.19710416050345234,0.0038907303560601165,0.1804417335475616,0.0011180952863106641
49,0.5543667316170444,0.014379817275802599,0.618391664977435,0.004715028977098194,0.19697904403316943,0.003942347875452498,0.18007403794792914,0.0011712277631930155
50,0.5538561508601709,0.013782055847941595,0.6185731752091232,0.004704878577725901,0.1969036424751243,0.003978830732598931,0.17972767709556428,0.0012753160665127422
51,0.5535881948688918,0.013655072903798745,0.6194714699900375,0.005385731218926793,0.1968418178710931,0.0039059169288980264,0.17946049415436413,0.0014965172541122561
52,0.5540112730561336,0.013635809259547335,0.6196684343570191,0.005397501438926544,0.19683629869113767,0.003905196122111334,0.17940069155574484,0.0014926376479477686
53,0.5539184874362286,0.015466128273318783,0.6209323633574979,0.0061944470261640705,0.1967810646908666,0.0038960441159142916,0.17921704363814706,0.0016233724615799027
54,0.5542343099187024,0.015617968978478149,0.6212148711481851,0.006460973585209256,0.19677740863402615,0.00391594918797756,0.17916929797363526,0.0016361423177447174
55,0.5549882761942155,0.014893542035265089,0.6222480192808859,0.007305749055471279,0.19659274553325035,0.003832113666160902,0.17878201371786182,0.0019447650718382773
56,0.5556640690939846,0.015433274672918816,0.6228869007546929,0.007938976736160197,0.1965884840777671,0.0038108116981499236,0.17865692453440735,0.002039605304163894
57,0.5563490837004671,0.013877896201995907,0.6236921973448256,0.00763895332189945,0.19648414304063522,0.003759741522592139,0.17837265829380677,0.002018306317058701
58,0.5565897018350023,0.012467125613298017,0.62365124213677,0.007545910647533842,0.19646248804891436,0.003732870805742746,0.1782404491707331,0.00204333224995542
59,0.5569349948540173,0.011762848211665695,0.6242315145804197,0.007933314490733555,0.1964357843943185,0.0037577617694866733,0.17803453177103692,0.0021843285408021883
60,0.5562759993947769,0.010517128657442953,0.6247239450231714,0.008214748158100828,0.19643315396573974,0.0037264877397314195,0.17790392848787737,0.0022512608842704725
61,0.5558392657450199,0.012125065402120494,0.6262064328449268,0.008271120363072655,0.19644379154709507,0.003664063293394332,0.17753721055888905,0.00224901141743634
62,0.5545447188771271,0.011361452754763444,0.6272873422374874,0.008359686037162984,0.196392860058933,0.0036790205978974085,0.17737043016145373,0.0021204742276978886
63,0.5554647903343232,0.012481177479394598,0.6274849258391229,0.008357244706292134,0.19634831475624281,0.0036366443204418233,0.17720635113103653,0.002151708175375841
64,0.555904893152158,0.013112385296291133,0.6292342616280264,0.007326608004091678,0.19624579140890466,0.0036503316340345117,0.1769179154134069,0.002060523770883548
65,0.5558697042103473,0.012917578144790939,0.6298107252721177,0.007407963852143846,0.19620729079266536,0.0036639448177491654,0.17675924267277995,0.0018878207576534742
66,0.5561498858241543,0.012310814153603309,0.630778629882062,0.00784906947352175,0.19621701148666326,0.003670424639869039,0.17654480759615618,0.0020134708061507215
67,0.5562718178614238,0.0123705327026527,0.6308901886717712,0.007905165903674932,0.19621776809933805,0.0036704438792538375,0.17644716851843545,0.0021353396875837607
68,0.5567579232208784,0.01170820370656615,0.6317777705712804,0.008368285054119034,0.19616681674762787,0.00360930243030795,0.17624188614251574,0.002211839410641654
69,0.5575386220541921,0.010359160728616921,0.6321534956266776,0.0082741468534994,0.19611529540669134,0.0036740740857326886,0.1760714893427667,0.0021095042101289064
70,0.556273601011943,0.00945481090561059,0.6326087182079951,0.008714123289793346,0.19611636554382494,0.0036548182063544073,0.1759611081924507,0.0021853710608517552
71,0.556528971915384,0.009277063192218108,0.6329336075314609,0.009786154645551198,0.19609877399174444,0.0036709397942325294,0.17582426416120084,0.002293106563412096
72,0.556496938329548,0.00929612355439122,0.6334925576425674,0.008851605186169476,0.1960729540391004,0.0036769714698539624,0.17566174147360475,0.0022706184789587753
73,0.5566682643865701,0.009126659164297982,0.6341523504944824,0.00847519418744102,0.19599854362422628,0.0037933500713255813,0.1754617309658367,0.0022915923242734413
74,0.5561951396315675,0.008971878811158495,0.6354488547817521,0.007167526002572812,0.1959650835890542,0.003807507445004611,0.17522153900994558,0.0021054676533318953
75,0.5555430713189339,0.009121647649830216,0.6373957410878701,0.007833759153171952,0.1958708341618785,0.003830585599732122,0.17487184875111844,0.0023259412301803385
76,0.5554242697264897,0.009216936868284632,0.6375999953337426,0.007803580872637522,0.19585144160643325,0.003846648313378623,0.17470385727015186,0.002323980918018491
77,0.5553126249906841,0.009158145664868646,0.6381648280939476,0.008223396632331171,0.19583070122163798,0.003876226752243129,0.17460521437250473,0.0024248530838464435
78,0.5540924646070938,0.01029870952159027,0.6389510655426779,0.008748715300179016,0.1958831101422196,0.003941579900335493,0.17441083283300526,0.0025583558604590053
79,0.5547204888262139,0.010710139555002073,0.6392531372994085,0.00894810388150767,0.19590207458743433,0.003924383479621133,0.17426736669235227,0.0024045065631809765
80,0.5544745625966754,0.01074634423662447,0.6396291263642173,0.008787415251567008,0.19589777979957665,0.003922242356238491,0.17418269213860665,0.002394540287511746
81,0.5537540988398075,0.010352089187422699,0.6399216951009336,0.008095714058043919,0.19588256672697124,0.003935694554010611,0.1739790766943865,0.0022328103735366374
82,0.5550712075864345,0.010405783293008118,0.6406734912754525,0.008501259372192725,0.19582068631741012,0.0040466395857832365,0.17374772064187036,0.002298772838528574
83,0.5548997521779327,0.010385028419441167,0.6411908971185587,0.00875277679022184,0.1958188608217803,0.004050531372752087,0.17363252036619753,0.0024321466018217457
84,0.5551775819523997,0.009019911627186362,0.6412286355035881,0.009168249723621645,0.19576474261878235,0.004047843114264329,0.17347808937673515,0.00233165840031869
85,0.5560690813241947,0.010167106481150242,0.6420011517586576,0.009771935831326585,0.19579837187666355,0.0040338350296474255,0.17321506992910093,0.0025280386444002908
86,0.5559867901251249,0.010629439164431546,0.6428580427765628,0.010069800827713927,0.19579824255933798,0.004079598586140275,0.17308214775477634,0.0024927545620232563
87,0.5546097569862863,0.01057365694292974,0.643489179165817,0.009464589026566782,0.1957820914936907,0.00408643346480614,0.1728412453028164,0.002312558768434833
88,0.5544964950639835,0.011132715906641596,0.6444753623897985,0.009572622351531258,0.19571117030677723,0.004085239078933944,0.1726699709506748,0.0023381457791358537
89,0.5541511917398163,0.011769697877241482,0.6454013684855984,0.009158929335511993,0.1957090636278564,0.004126059679638182,0.17244051391537354,0.0024002422608816716
90,0.5537094599122676,0.012568703796449513,0.6455121172996364,0.008995588155265407,0.19565002438780746,0.0040369603402980085,0.1722312352790596,0.002284828587108079
91,0.5540304895122052,0.012008703260954962,0.6466217922711819,0.008744408158178668,0.19553650606882442,0.003921961751160587,0.17187664129365005,0.0023029913140968916
92,0.5553209510682559,0.013177929069498497,0.6481550260623641,0.006781409151018399,0.19550198628168558,0.003951084728810188,0.17140448779795353,0.002216076768102271
93,0.5575417582535989,0.010966698880892923,0.6493037492372361,0.00764867689540593,0.19545564798016807,0.0038705402168249603,0.17109832413091178,0.0023948355916206215
94,0.5564247296294124,0.011755273013582755,0.6497853141072869,0.006985474814631531,0.19546585566504465,0.003868963354145051,0.17091036545680444,0.0021504395242860474
95,0.5557834260049936,0.012087778180761965,0.650316654010012,0.007125328361219316,0.19539609056348137,0.0038715300594490474,0.17068834027262292,0.002141932397741239
96,0.5568251315307696,0.012145076345864453,0.6503450348529667,0.007393880555740704,0.1953633959662477,0.0038872766849015034,0.17053447336830216,0.0019523092995812762
97,0.5567245245991834,0.011787700565138606,0.6512442479787371,0.0072999851042123195,0.1953738186039335,0.003924102829404949,0.17028090160563303,0.0020324393274553467
98,0.5567885439347242,0.012007978504138867,0.6520567029065764,0.007435030156814199,0.19538631161830908,0.0038595559474551124,0.170130520818708,0.0019888317111418424
99,0.5570385461283462,0.012346232382547121,0.6521419589797561,0.007100925998580687,0.1953920571745015,0.0038478864183986274,0.17009011974431965,0.0019456446705205781
100,0.5565734258897332,0.012148727455493618,0.6527954037101601,0.006983610558021725,0.1953835788022578,0.0037923847886146504,0.16994280986924,0.001965413279438448
101,0.5560771529131449,0.012133463749099217,0.6535827710471089,0.007457378034778434,0.19533148051487717,0.0038745851053660746,0.16967127191836495,0.0019349199534491029
102,0.5567014339417493,0.011992421929498695,0.6546321602545238,0.007450787939834471,0.19533286715325504,0.0038745318473971855,0.16941787152770066,0.001966172326626555
103,0.5568139124385451,0.011705512527830055,0.6548309886058264,0.007328013877482754,0.1953624437980101,0.00391866546966156,0.16936660260448272,0.0019790585769077053
104,0.5565380218132232,0.012014277194498168,0.6552416830322505,0.007186753056453829,0.19536473080236932,0.003924841028742375,0.16927042143841584,0.0020494624869480766
105,0.5577740459393842,0.01200410872458078,0.6558757933662791,0.00797775215056303,0.19529647838284475,0.003939933322399835,0.1690754968422413,0.0021258255320236257
106,0.5576455929262071,0.01203363877433717,0.6562562864159389,0.008024347384615793,0.19523931546412523,0.0039222392713470396,0.1689821059527063,0.002149662901648339
107,0.5572715406399529,0.011558250982950243,0.6564224617168056,0.008018627630700333,0.19521199081215818,0.0039389541509758375,0.16875220598234267,0.0021131657357150307
108,0.5578268458946058,0.011441754283920521,0.6573296144861093,0.007886634738048503,0.19518007365495815,0.003989443176084217,0.16859525369881356,0.002101068857113343
109,0.5587622720962451,0.011590695048928765,0.6577844781887575,0.0077321251566178865,0.19516088391712477,0.003960276803411354,0.16839641386959117,0.0021586193508446954
110,0.5577257700249059,0.01065463633027192,0.6588463179751278,0.007382887185188663,0.1951372278785556,0.0039675521872891304,0.16828889022674756,0.0021605152909978413
111,0.5576975635592405,0.010986617963810178,0.6590982007626245,0.007814198499535442,0.19516610758654884,0.003971731211179274,0.16810827293627867,0.00222730963524906
112,0.5578061785012908,0.009691980286515517,0.659792326530429,0.008448296418639012,0.19515307899500867,0.003955191733446817,0.1679307636482919,0.002253856173156096
113,0.5578282631769751,0.009883967210023614,0.6606036052811317,0.009048953318433228,0.19519127064866781,0.00395358774369932,0.16764736349305895,0.0023175949203463318
